,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,Customer Segment,Date
489,3921,96,8,205,1,2,2,122,0,2012-10-28
490,3403,11,14,2092,4,3,4,434,big_spenders,2012-09-24
491,22,99,11,309,1,3,2,132,0,2012-03-12
492,10965,72,16,1722,2,4,4,244,loyals,2013-02-22
493,9426,77,5,900,1,1,3,113,0,2013-12-01
494,6605,85,15,682,1,4,3,143,loyals,2013-11-27
495,3136,88,16,663,1,4,3,143,loyals,2013-04-13
496,8737,22,5,43,4,1,1,411,rookies,2014-05-04
497,11088,83,8,1816,1,2,4,124,big_spenders,2013-04-21
498,716,63,17,976,2,4,3,243,loyals,2014-05-22
499,466,9,17,746,4,4,3,443,loyals,2013-03-04
500,9135,92,3,64,1,1,1,111,lost,2012-06-08
501,10623,2,4,32,4,1,1,411,rookies,2013-11-15
502,8151,6,7,263,4,2,2,422,0,2012-12-29
503,5140,66,16,1445,2,4,4,244,loyals,2012-08-24
504,10160,49,4,46,3,1,1,311,0,2013-06-21
505,4945,29,22,1210,3,4,4,344,loyals,2012-07-11
506,10584,77,13,945,1,3,3,133,0,2013-02-12
507,6071,77,14,1157,1,3,4,134,big_spenders,2013-07-19
508,3386,71,6,137,2,2,2,222,0,2013-06-21
509,8939,49,17,730,3,4,3,343,loyals,2012-12-16
510,9925,97,7,216,1,2,2,122,0,2013-05-25
511,4320,6,18,943,4,4,3,443,loyals,2013-03-28
512,5389,93,11,347,1,3,2,132,0,2013-10-20
513,6036,78,12,1924,1,3,4,134,big_spenders,2014-03-17
514,182,62,11,397,2,3,2,232,0,2013-11-05
515,203,47,14,2089,3,3,4,334,big_spenders,2013-04-14
516,11025,9,6,138,4,2,2,422,0,2013-03-02
517,10203,77,4,42,1,1,1,111,lost,2013-06-30
518,4607,24,11,777,4,3,3,433,0,2013-08-23
519,3711,19,16,1902,4,4,4,444,stars,2014-01-03
520,3696,67,5,52,2,1,1,211,0,2014-01-27
521,2532,95,8,1651,1,2,4,124,big_spenders,2014-01-03
522,9214,48,11,358,3,3,2,332,0,2013-08-16
523,4943,73,11,1727,2,3,4,234,big_spenders,2012-09-30
524,35,35,5,210,3,1,2,312,0,2012-08-09
525,2258,76,4,42,1,1,1,111,lost,2012-04-12
526,4322,20,14,1291,4,3,4,434,big_spenders,2013-11-27
527,713,72,10,442,2,2,3,223,0,2014-08-06
528,4702,20,8,1895,4,2,4,424,big_spenders,2012-12-08
529,3281,69,12,411,2,3,3,233,0,2013-03-11
530,702,80,12,521,1,3,3,133,0,2013-02-15
531,2004,65,9,1168,2,2,4,224,big_spenders,2013-09-18
532,4769,52,14,493,2,3,3,233,0,2014-06-18
533,4437,65,8,260,2,2,2,222,0,2013-04-24
534,8724,57,5,46,2,1,1,211,0,2013-06-17
535,10741,70,11,319,2,3,2,232,0,2013-11-04
536,1991,0,5,96,4,1,2,412,0,2014-01-18
537,6931,19,12,1062,4,3,4,434,big_spenders,2014-02-15
538,11096,50,9,232,2,2,2,222,0,2013-08-08
539,304,67,6,76,2,2,2,222,0,2013-12-23
540,3665,46,6,54,3,2,1,321,0,2013-07-11
541,10591,37,8,201,3,2,2,322,0,2012-06-08
542,5036,38,7,406,3,2,3,323,0,2012-11-28
543,5547,9,13,1919,4,3,4,434,big_spenders,2013-07-08
544,7822,56,12,662,2,3,3,233,0,2013-04-06
545,8541,98,6,41,1,2,1,121,0,2014-08-03
546,10955,68,7,1600,2,2,4,224,big_spenders,2014-07-01
547,4368,72,7,134,2,2,2,222,0,2013-03-12
548,9671,47,5,69,3,1,1,311,0,2014-01-26
549,2256,33,4,21,3,1,1,311,0,2014-03-29
550,4279,87,4,54,1,1,1,111,lost,2014-03-31
551,5371,0,5,91,4,1,2,412,0,2014-08-04
552,9240,73,14,526,2,3,3,233,0,2014-07-02
553,9460,74,5,162,2,1,2,212,0,2013-04-18
554,9504,4,16,1008,4,4,3,443,loyals,2013-06-11
555,8692,50,9,240,2,2,2,222,0,2012-12-09
556,448,57,17,795,2,4,3,243,loyals,2013-01-03
557,8314,30,12,1772,3,3,4,334,big_spenders,2013-05-04
558,8420,27,6,64,3,2,1,321,0,2013-03-08
559,3174,61,9,1957,2,2,4,224,big_spenders,2013-05-22
560,7685,4,6,78,4,2,2,422,0,2013-09-09
561,3179,75,13,1572,1,3,4,134,big_spenders,2013-06-16
562,9780,12,21,795,4,4,3,443,loyals,2013-06-25
563,10681,13,18,889,4,4,3,443,loyals,2014-01-15
564,10232,9,10,331,4,2,2,422,0,2013-05-11
565,4184,48,8,265,3,2,2,322,0,2014-07-06
566,9120,80,13,1065,1,3,4,134,big_spenders,2012-05-12
567,891,60,3,11,2,1,1,211,0,2013-07-09
568,10381,43,3,21,3,1,1,311,0,2013-05-07
569,3525,19,3,17,4,1,1,411,rookies,2012-07-12
570,6818,26,10,369,3,2,2,322,0,2012-12-09
571,3526,58,4,38,2,1,1,211,0,2014-01-27
572,8181,42,7,177,3,2,2,322,0,2013-09-13
573,1029,27,10,279,3,2,2,322,0,2013-01-08
574,7369,56,5,62,2,1,1,211,0,2013-02-10
575,2574,27,14,1230,3,3,4,334,big_spenders,2013-01-31
576,8159,10,7,182,4,2,2,422,0,2014-01-04
577,1160,48,6,49,3,2,1,321,0,2013-08-23
578,10242,39,6,75,3,2,2,322,0,2013-09-16
579,5253,85,8,227,1,2,2,122,0,2013-09-07
580,5966,64,9,215,2,2,2,222,0,2012-10-11
581,5314,69,12,444,2,3,3,233,0,2013-03-18
582,5081,54,4,47,2,1,1,211,0,2013-10-20
583,5123,57,5,143,2,1,2,212,0,2013-04-15
584,5756,64,5,55,2,1,1,211,0,2014-03-04
585,8036,10,6,63,4,2,1,421,0,2014-04-18
586,9058,65,10,1867,2,2,4,224,big_spenders,2012-09-23
587,5057,74,14,611,2,3,3,233,0,2013-09-14
588,254,4,14,473,4,3,3,433,0,2014-05-17
589,4179,94,4,55,1,1,1,111,lost,2013-08-20
590,3710,41,4,81,3,1,2,312,0,2012-12-10
591,7627,25,10,2086,3,2,4,324,big_spenders,2012-12-12
592,4501,94,12,1478,1,3,4,134,big_spenders,2013-10-11
593,6424,9,4,49,4,1,1,411,rookies,2014-01-30
594,3075,47,10,382,3,2,2,322,0,2013-11-09
595,4992,12,5,69,4,1,1,411,rookies,2013-09-19
596,5252,80,5,67,1,1,1,111,lost,2012-10-26
597,7444,20,4,30,4,1,1,411,rookies,2013-10-19
598,6919,39,5,63,3,1,1,311,0,2013-04-06
599,3537,57,7,79,2,2,2,222,0,2012-08-17
600,10277,27,4,42,3,1,1,311,0,2013-02-21
601,2453,83,17,819,1,4,3,143,loyals,2012-08-31
602,7972,79,12,1151,1,3,4,134,big_spenders,2013-09-17
603,895,69,15,594,2,4,3,243,loyals,2012-09-12
604,1177,77,6,129,1,2,2,122,0,2013-01-26
605,7141,15,7,213,4,2,2,422,0,2012-12-29
606,7232,99,4,67,1,1,1,111,lost,2014-11-02
607,8477,61,4,28,2,1,1,211,0,2013-11-03
608,2457,23,4,45,4,1,1,411,rookies,2012-10-26
609,988,84,13,1193,1,3,4,134,big_spenders,2014-07-05
610,7930,74,9,268,2,2,2,222,0,2013-08-19
611,4587,90,10,266,1,2,2,122,0,2013-07-18
612,6682,41,4,37,3,1,1,311,0,2012-11-12
613,6222,28,5,37,3,1,1,311,0,2013-10-28
614,10299,73,19,882,2,4,3,243,loyals,2012-09-11
615,3083,88,11,373,1,3,2,132,0,2013-07-26
616,8953,94,4,35,1,1,1,111,lost,2013-06-05
617,1503,31,1,107,3,1,2,312,0,2013-03-06
618,8650,31,4,42,3,1,1,311,0,2013-03-18
619,10862,6,10,326,4,2,2,422,0,2012-08-17
620,2782,23,13,404,4,3,3,433,0,2013-11-07
621,6941,92,4,95,1,1,2,112,0,2013-07-14
622,10972,52,10,939,2,2,3,223,0,2014-10-03
623,10708,50,4,33,2,1,1,211,0,2013-12-28
624,6583,54,12,981,2,3,3,233,0,2013-03-06
625,3641,93,5,36,1,1,1,111,lost,2013-01-20
626,10156,56,15,1237,2,4,4,244,loyals,2013-03-06
627,4299,28,16,1825,3,4,4,344,loyals,2012-09-21
628,3469,94,6,103,1,2,2,122,0,2012-06-09
629,5063,76,8,191,1,2,2,122,0,2012-12-18
630,10727,43,20,1586,3,4,4,344,loyals,2013-11-19
631,9624,46,9,963,3,2,3,323,0,2014-06-13
632,5156,13,18,889,4,4,3,443,loyals,2014-01-15
633,4376,27,5,93,3,1,2,312,0,2014-02-15
634,8923,12,13,1587,4,3,4,434,big_spenders,2013-04-18
635,8461,3,3,16,4,1,1,411,rookies,2014-10-03
636,6945,72,20,1375,2,4,4,244,loyals,2013-04-06
637,944,6,11,393,4,3,2,432,0,2013-08-01
638,1907,53,17,1477,2,4,4,244,loyals,2012-09-28
639,701,58,14,1179,2,3,4,234,big_spenders,2013-06-11
640,3856,78,17,1005,1,4,3,143,loyals,2012-05-10
641,4149,57,11,1348,2,3,4,234,big_spenders,2014-05-13
642,2131,37,15,1307,3,4,4,344,loyals,2012-12-30
643,2942,20,9,486,4,2,3,423,0,2013-07-05
644,1173,73,10,2252,2,2,4,224,big_spenders,2013-10-03
645,4381,56,9,235,2,2,2,222,0,2013-08-18
646,4611,36,22,1724,3,4,4,344,loyals,2013-01-21
647,3376,9,9,235,4,2,2,422,0,2013-12-13
648,4679,42,19,1092,3,4,4,344,loyals,2014-05-23
649,10928,28,14,599,3,3,3,333,0,2013-09-16
650,4248,23,13,2008,4,3,4,434,big_spenders,2014-02-17
651,6728,38,4,48,3,1,1,311,0,2012-08-27
652,6661,63,21,1174,2,4,4,244,loyals,2012-12-08
653,4725,71,5,67,2,1,1,211,0,2014-04-13
654,3277,9,12,365,4,3,2,432,0,2012-03-08
655,5555,81,0,6,1,1,1,111,lost,2014-07-02
656,2564,87,7,165,1,2,2,122,0,2014-04-01
657,946,92,8,210,1,2,2,122,0,2012-09-22
658,3867,36,22,1095,3,4,4,344,loyals,2013-08-31
659,6940,86,6,223,1,2,2,122,0,2013-10-21
660,55,83,16,597,1,4,3,143,loyals,2012-07-12
661,7093,74,3,22,2,1,1,211,0,2013-11-14
662,5084,87,19,1064,1,4,4,144,loyals,2013-12-25
663,1777,29,5,74,3,1,2,312,0,2012-07-09
664,8162,88,4,26,1,1,1,111,lost,2013-01-01
665,10826,77,3,60,1,1,1,111,lost,2012-12-28
666,8754,25,3,20,3,1,1,311,0,2013-05-16
667,1987,34,5,59,3,1,1,311,0,2013-09-25
668,11007,43,4,34,3,1,1,311,0,2013-09-05
669,7426,76,8,198,1,2,2,122,0,2013-07-11
670,9153,81,17,1048,1,4,3,143,loyals,2013-07-29
671,10379,87,14,574,1,3,3,133,0,2013-08-11
672,9204,33,10,1029,3,2,3,323,0,2012-12-09
673,3197,38,14,670,3,3,3,333,0,2013-12-16
674,2920,63,10,990,2,2,3,223,0,2012-01-12
675,6961,26,3,11,3,1,1,311,0,2014-05-22
676,4673,17,15,1241,4,4,4,444,stars,2012-10-30
677,9937,75,14,576,1,3,3,133,0,2014-02-01
678,8779,13,7,172,4,2,2,422,0,2013-06-16
679,9596,19,16,664,4,4,3,443,loyals,2013-12-23
680,2891,51,12,928,2,3,3,233,0,2013-10-18
681,4910,81,24,2074,1,4,4,144,loyals,2012-08-30
682,75,32,13,467,3,3,3,333,0,2013-07-25
683,10120,84,9,257,1,2,2,122,0,2013-10-24
684,6327,87,8,1146,1,2,4,124,big_spenders,2013-12-19
685,10142,99,16,689,1,4,3,143,loyals,2013-07-03
686,9826,96,15,2114,1,4,4,144,loyals,2012-12-09
687,1501,21,1,1717,4,1,4,414,big_spenders,2012-04-08
688,10767,40,15,1346,3,4,4,344,loyals,2014-05-16
689,7279,3,8,1044,4,2,3,423,0,2013-09-30
690,7230,98,11,493,1,3,3,133,0,2012-04-10
691,143,73,9,957,2,2,3,223,0,2013-08-25
692,450,90,5,270,1,1,2,112,0,2013-12-07
693,9316,29,4,29,3,1,1,311,0,2013-02-11
694,6379,3,4,121,4,1,2,412,0,2013-05-29
695,9239,94,6,126,1,2,2,122,0,2013-07-26
696,8315,65,3,23,2,1,1,211,0,2014-03-26
697,2868,33,5,57,3,1,1,311,0,2013-08-04
698,10888,46,14,636,3,3,3,333,0,2013-03-11
699,1277,29,20,1004,3,4,3,343,loyals,2014-09-04
700,9977,99,14,734,1,3,3,133,0,2013-09-17
701,10196,26,16,614,3,4,3,343,loyals,2014-12-03
702,6384,30,16,1453,3,4,4,344,loyals,2014-11-02
703,8029,27,10,1621,3,2,4,324,big_spenders,2014-04-29
704,968,24,8,187,4,2,2,422,0,2013-12-26
705,6988,93,16,1443,1,4,4,144,loyals,2013-10-01
706,4472,34,4,57,3,1,1,311,0,2014-06-27
707,6991,88,15,637,1,4,3,143,loyals,2013-10-04
708,3336,96,7,948,1,2,3,123,0,2013-11-21
709,4301,10,3,59,4,1,1,411,rookies,2013-10-01
710,1940,26,3,18,3,1,1,311,0,2013-12-07
711,1272,49,17,903,3,4,3,343,loyals,2012-10-21
712,1388,11,5,112,4,1,2,412,0,2013-02-20
713,1044,44,13,596,3,3,3,333,0,2013-05-14
714,6969,75,9,233,1,2,2,122,0,2013-07-08
715,10479,64,8,1511,2,2,4,224,big_spenders,2012-07-12
716,3619,19,13,1152,4,3,4,434,big_spenders,2012-09-23
717,1715,45,5,48,3,1,1,311,0,2013-11-02
718,10159,77,20,1185,1,4,4,144,loyals,2013-03-31
719,1463,9,3,21,4,1,1,411,rookies,2014-03-29
720,5114,1,10,965,4,2,3,423,0,2012-12-19
721,4990,90,19,869,1,4,3,143,loyals,2013-02-05
722,4329,43,4,16,3,1,1,311,0,2014-05-23
723,10936,79,9,1947,1,2,4,124,big_spenders,2013-02-13
724,4692,19,6,71,4,2,2,422,0,2012-01-08
725,7212,99,5,65,1,1,1,111,lost,2014-08-06
726,6086,62,18,1380,2,4,4,244,loyals,2013-11-23
727,437,41,14,1027,3,3,3,333,0,2014-01-25
728,11171,60,11,411,2,3,3,233,0,2013-11-10
729,11101,17,19,836,4,4,3,443,loyals,2013-04-15
730,5329,24,3,11,4,1,1,411,rookies,2013-09-27
731,610,60,13,480,2,3,3,233,0,2012-07-08
732,9384,57,14,606,2,3,3,233,0,2013-12-06
733,5956,74,10,284,2,2,2,222,0,2013-10-16
734,10430,22,8,1472,4,2,4,424,big_spenders,2013-09-10
735,7875,46,17,1677,3,4,4,344,loyals,2014-04-29
736,7072,69,12,1335,2,3,4,234,big_spenders,2013-03-29
737,6255,29,11,334,3,3,2,332,0,2014-03-06
738,6516,37,3,18,3,1,1,311,0,2013-03-18
739,5564,26,13,1338,3,3,4,334,big_spenders,2012-09-08
740,5682,8,17,1099,4,4,4,444,stars,2013-03-23
741,7458,26,6,97,3,2,2,322,0,2013-06-03
742,5237,79,5,63,1,1,1,111,lost,2014-01-01
743,7761,71,7,109,2,2,2,222,0,2013-01-08
744,5278,83,11,902,1,3,3,133,0,2014-01-25
745,3560,57,15,1574,2,4,4,244,loyals,2013-12-05
746,7235,37,6,38,3,2,1,321,0,2013-09-12
747,10548,30,15,960,3,4,3,343,loyals,2014-09-03
748,2281,34,3,28,3,1,1,311,0,2013-09-15
749,4073,0,17,1215,4,4,4,444,stars,2014-01-29
750,6974,89,11,1497,1,3,4,134,big_spenders,2013-12-31
751,7938,92,13,449,1,3,3,133,0,2013-03-10
752,7094,87,19,1064,1,4,4,144,loyals,2013-12-25
753,3667,20,19,1757,4,4,4,444,stars,2013-02-28
754,7723,56,14,1440,2,3,4,234,big_spenders,2014-02-05
755,3870,28,20,1006,3,4,3,343,loyals,2013-09-02
756,4012,55,12,1226,2,3,4,234,big_spenders,2012-11-08
757,5909,25,11,1171,3,3,4,334,big_spenders,2013-09-19
758,10470,0,5,92,4,1,2,412,0,2013-03-15
759,6488,86,5,99,1,1,2,112,0,2014-06-04
760,10270,8,6,66,4,2,1,421,0,2013-03-10
761,6887,33,16,564,3,4,3,343,loyals,2014-04-24
762,6406,13,16,1427,4,4,4,444,stars,2013-10-28
763,7573,12,4,86,4,1,2,412,0,2013-10-05
764,4508,92,7,833,1,2,3,123,0,2014-05-22
765,221,90,7,242,1,2,2,122,0,2013-04-27
766,5331,8,10,1869,4,2,4,424,big_spenders,2012-11-09
767,1911,6,23,1364,4,4,4,444,stars,2012-05-09
768,20,91,6,183,1,2,2,122,0,2013-01-09
769,8786,52,13,450,2,3,3,233,0,2013-05-26
770,10582,3,17,758,4,4,3,443,loyals,2013-03-07
771,1915,57,14,1507,2,3,4,234,big_spenders,2013-12-12
772,8897,9,14,654,4,3,3,433,0,2013-04-24
773,2371,22,6,81,4,2,2,422,0,2013-04-13
774,4303,76,1,137,1,1,2,112,0,2012-08-12
775,6825,86,3,16,1,1,1,111,lost,2013-06-03
776,1072,64,5,93,2,1,2,212,0,2013-08-30
777,4964,90,6,1158,1,2,4,124,big_spenders,2014-01-26
778,2461,79,4,43,1,1,1,111,lost,2013-12-18
779,10736,28,11,1525,3,3,4,334,big_spenders,2013-12-09
780,3194,86,14,1230,1,3,4,134,big_spenders,2014-05-04
781,10839,42,4,29,3,1,1,311,0,2014-04-14
782,49,39,3,25,3,1,1,311,0,2014-11-05
783,4290,8,3,24,4,1,1,411,rookies,2014-03-19
784,10219,40,4,38,3,1,1,311,0,2013-06-18
785,4211,5,5,57,4,1,1,411,rookies,2012-10-29
786,1135,96,7,47,1,2,1,121,0,2014-02-15
787,6299,28,10,813,3,2,3,323,0,2013-02-01
788,10846,22,15,629,4,4,3,443,loyals,2014-05-29
789,347,30,12,377,3,3,2,332,0,2012-08-09
790,6543,45,7,1612,3,2,4,324,big_spenders,2013-01-15
791,10446,58,12,729,2,3,3,233,0,2012-07-11
792,3479,49,5,50,3,1,1,311,0,2013-07-19
793,11075,37,8,270,3,2,2,322,0,2013-10-29
794,4442,70,6,177,2,2,2,222,0,2013-05-04
795,199,33,11,315,3,3,2,332,0,2013-01-20
796,6722,98,17,767,1,4,3,143,loyals,2014-06-28
797,796,17,19,1071,4,4,4,444,stars,2012-10-23
798,3749,54,18,1580,2,4,4,244,loyals,2013-02-03
799,8523,39,7,60,3,2,1,321,0,2013-12-14
800,310,81,13,573,1,3,3,133,0,2013-12-13
801,8629,71,4,41,2,1,1,211,0,2013-03-26
802,236,62,6,170,2,2,2,222,0,2013-01-19
803,9930,8,19,1167,4,4,4,444,stars,2013-05-11
804,3483,76,14,1526,1,3,4,134,big_spenders,2013-06-04
805,4599,66,14,458,2,3,3,233,0,2013-04-11
806,7326,83,4,63,1,1,1,111,lost,2014-03-23
807,7352,28,9,405,3,2,3,323,0,2013-10-21
808,2350,87,11,1027,1,3,3,133,0,2013-03-22
809,9145,43,11,1478,3,3,4,334,big_spenders,2013-06-04
810,2964,0,3,72,4,1,2,412,0,2013-10-16
811,5585,1,5,48,4,1,1,411,rookies,2013-04-20
812,9687,1,11,726,4,3,3,433,0,2014-05-31
813,3732,72,14,860,2,3,3,233,0,2013-04-02
814,6303,72,17,1497,2,4,4,244,loyals,2013-11-23
815,11176,12,12,495,4,3,3,433,0,2014-12-05
816,2986,89,3,20,1,1,1,111,lost,2014-12-03
817,7462,67,14,570,2,3,3,233,0,2012-11-24
818,3900,54,18,769,2,4,3,243,loyals,2014-03-29
819,7034,34,5,55,3,1,1,311,0,2013-01-09
820,9493,15,13,1808,4,3,4,434,big_spenders,2013-05-05
821,1143,43,5,55,3,1,1,311,0,2013-08-08
822,1,0,14,577,4,3,3,433,0,2014-06-15
823,3855,74,5,162,2,1,2,212,0,2013-04-18
824,5536,61,9,1957,2,2,4,224,big_spenders,2013-05-22
825,5989,51,21,1576,2,4,4,244,loyals,2013-04-16
826,9499,97,10,1616,1,2,4,124,big_spenders,2013-07-05
827,6768,75,4,36,1,1,1,111,lost,2013-12-01
828,2150,83,12,1482,1,3,4,134,big_spenders,2013-11-05
829,6646,23,4,22,4,1,1,411,rookies,2014-01-03
830,4887,65,5,63,2,1,1,211,0,2013-11-22
831,8560,94,13,680,1,3,3,133,0,2012-10-09
832,3321,42,14,542,3,3,3,333,0,2013-05-05
833,11003,10,5,50,4,1,1,411,rookies,2013-02-10
834,10402,94,4,39,1,1,1,111,lost,2013-02-14
835,9904,50,18,1043,2,4,3,243,loyals,2013-03-29
836,6141,46,11,385,3,3,2,332,0,2013-04-25
837,5687,98,19,1633,1,4,4,144,loyals,2012-09-23
838,10856,42,4,46,3,1,1,311,0,2013-02-07
839,5121,30,12,761,3,3,3,333,0,2014-03-21
840,4186,11,5,76,4,1,2,412,0,2013-05-08
841,368,61,9,290,2,2,2,222,0,2012-11-29
842,3312,12,7,89,4,2,2,422,0,2014-12-05
843,11121,76,7,70,1,2,2,122,0,2012-10-11
844,5332,2,10,1066,4,2,4,424,big_spenders,2013-07-27
845,5848,43,12,2009,3,3,4,334,big_spenders,2014-01-13
846,10343,27,11,1345,3,3,4,334,big_spenders,2012-09-29
847,5935,60,15,764,2,4,3,243,loyals,2012-12-24
848,2895,79,8,195,1,2,2,122,0,2013-10-23
849,10262,96,6,53,1,2,1,121,0,2013-10-05
850,7848,17,8,368,4,2,2,422,0,2013-06-13
851,9477,0,15,544,4,4,3,443,loyals,2014-11-01
852,4856,38,17,1853,3,4,4,344,loyals,2012-06-11
853,7186,43,3,35,3,1,1,311,0,2014-05-26
854,5794,1,14,446,4,3,3,433,0,2014-03-17
855,1456,25,22,1180,3,4,4,344,loyals,2013-01-04
856,4877,2,4,41,4,1,1,411,rookies,2014-04-03
857,425,66,17,727,2,4,3,243,loyals,2013-02-19
858,3007,49,4,40,3,1,1,311,0,2012-04-10
859,1031,5,16,1062,4,4,4,444,stars,2013-05-05
860,4297,71,5,40,2,1,1,211,0,2014-01-26
861,807,35,10,292,3,2,2,322,0,2014-02-15
862,9553,94,3,15,1,1,1,111,lost,2013-09-01
863,4271,80,10,341,1,2,2,122,0,2012-04-10
864,4120,61,10,369,2,2,2,222,0,2013-12-17
865,2036,29,12,401,3,3,3,333,0,2013-11-06
866,115,0,13,393,4,3,2,432,0,2013-03-26
867,4259,80,3,10,1,1,1,111,lost,2013-09-24
868,8687,54,10,486,2,2,3,223,0,2013-06-05
869,2447,71,5,69,2,1,1,211,0,2012-10-17
870,10140,27,9,1727,3,2,4,324,big_spenders,2013-09-28
871,9353,61,9,995,2,2,3,223,0,2014-06-01
872,3623,55,7,45,2,2,1,221,0,2014-11-06
873,738,35,7,182,3,2,2,322,0,2014-04-04
874,7631,34,15,989,3,4,3,343,loyals,2013-06-10
875,4789,95,9,1677,1,2,4,124,big_spenders,2013-09-17
876,773,64,10,595,2,2,3,223,0,2013-06-30
877,10602,30,7,156,3,2,2,322,0,2013-02-14
878,1446,12,18,1226,4,4,4,444,stars,2014-05-04
879,3270,96,6,128,1,2,2,122,0,2013-01-17
880,8443,16,5,86,4,1,2,412,0,2014-10-02
881,9653,16,5,68,4,1,1,411,rookies,2012-10-16
882,8916,78,3,16,1,1,1,111,lost,2013-07-23
883,8017,83,5,55,1,1,1,111,lost,2014-06-19
884,5830,96,15,2114,1,4,4,144,loyals,2012-12-09
885,4597,67,16,2018,2,4,4,244,loyals,2013-02-07
886,7023,87,10,263,1,2,2,122,0,2012-11-26
887,8086,34,5,55,3,1,1,311,0,2013-11-12
888,8825,46,14,564,3,3,3,333,0,2013-01-04
889,2930,7,12,1281,4,3,4,434,big_spenders,2013-12-16
890,1928,73,5,83,2,1,2,212,0,2013-09-02
891,7108,54,10,353,2,2,2,222,0,2012-08-09
892,10925,93,14,1003,1,3,3,133,0,2014-01-14
893,9960,52,3,14,2,1,1,211,0,2014-04-30
894,8800,53,12,902,2,3,3,233,0,2013-01-02
895,9224,81,13,1139,1,3,4,134,big_spenders,2012-12-12
896,5519,8,10,797,4,2,3,423,0,2013-07-08
897,5046,97,17,1638,1,4,4,144,loyals,2014-01-23
898,7037,50,12,401,2,3,3,233,0,2013-11-08
899,905,38,7,84,3,2,2,322,0,2013-10-22
900,8624,61,14,928,2,3,3,233,0,2013-06-02
901,8945,46,8,203,3,2,2,322,0,2013-08-16
902,6445,73,10,858,2,2,3,223,0,2013-07-14
903,2727,19,9,409,4,2,3,423,0,2013-04-12
904,6404,10,10,282,4,2,2,422,0,2013-03-24
905,11074,94,13,1423,1,3,4,134,big_spenders,2014-09-04
906,10150,10,14,1449,4,3,4,434,big_spenders,2013-11-21
907,1968,37,3,28,3,1,1,311,0,2013-02-12
908,6534,94,5,67,1,1,1,111,lost,2014-04-01
909,9485,23,8,199,4,2,2,422,0,2014-10-03
910,7053,75,11,1453,1,3,4,134,big_spenders,2013-06-29
911,4654,40,8,1253,3,2,4,324,big_spenders,2013-07-11
912,9760,24,20,1198,4,4,4,444,stars,2013-01-25
913,1048,11,7,178,4,2,2,422,0,2013-07-14
914,10619,29,14,1990,3,3,4,334,big_spenders,2012-03-12
915,9308,51,9,976,2,2,3,223,0,2013-11-05
916,10505,86,10,1001,1,2,3,123,0,2013-12-26
917,8362,9,13,1919,4,3,4,434,big_spenders,2013-07-08
918,2625,30,10,350,3,2,2,322,0,2013-11-17
919,4637,73,15,1650,2,4,4,244,loyals,2013-05-18
920,9972,25,4,46,3,1,1,311,0,2014-04-13
921,4483,67,8,1228,2,2,4,224,big_spenders,2013-04-17
922,4487,67,6,95,2,2,2,222,0,2013-01-24
923,4988,58,5,62,2,1,1,211,0,2014-04-05
924,8931,82,21,1761,1,4,4,144,loyals,2014-05-18
925,5871,98,12,467,1,3,3,133,0,2012-08-31
926,2008,93,13,1149,1,3,4,134,big_spenders,2014-10-02
927,3139,53,14,2052,2,3,4,234,big_spenders,2013-12-30
928,10037,66,11,1127,2,3,4,234,big_spenders,2014-04-05
929,10673,6,11,1416,4,3,4,434,big_spenders,2013-11-17
930,5303,42,15,1113,3,4,4,344,loyals,2014-08-04
931,538,78,5,125,1,1,2,112,0,2014-10-02
932,7922,29,21,966,3,4,3,343,loyals,2012-12-08
933,5692,82,4,32,1,1,1,111,lost,2012-12-22
934,4843,92,7,833,1,2,3,123,0,2014-05-22
935,6383,78,6,46,1,2,1,121,0,2014-05-25
936,1628,54,13,960,2,3,3,233,0,2013-10-24
937,1204,45,22,1829,3,4,4,344,loyals,2013-05-22
938,3673,59,18,779,2,4,3,243,loyals,2013-07-14
939,760,8,17,811,4,4,3,443,loyals,2013-09-08
940,8957,51,11,1120,2,3,4,234,big_spenders,2013-10-06
941,4128,51,14,725,2,3,3,233,0,2013-07-20
942,6810,76,9,1187,1,2,4,124,big_spenders,2013-05-28
943,5386,62,10,2302,2,2,4,224,big_spenders,2013-04-03
944,8700,86,5,66,1,1,1,111,lost,2012-12-22
945,3202,60,14,1250,2,3,4,234,big_spenders,2012-01-10
946,1328,56,13,683,2,3,3,233,0,2014-02-16
947,8405,83,9,305,1,2,2,122,0,2013-09-30
948,6515,92,5,50,1,1,1,111,lost,2013-06-12
949,2882,31,12,995,3,3,3,333,0,2012-01-10
950,7574,80,5,41,1,1,1,111,lost,2014-10-05
951,6387,39,5,77,3,1,2,312,0,2014-08-05
952,5320,20,7,171,4,2,2,422,0,2013-01-29
953,5048,53,5,131,2,1,2,212,0,2013-11-05
954,8146,84,3,54,1,1,1,111,lost,2014-11-05
955,10031,50,7,53,2,2,1,221,0,2013-10-02
956,5748,96,11,475,1,3,3,133,0,2012-01-12
957,2134,94,13,694,1,3,3,133,0,2012-08-17
958,1523,25,6,96,3,2,2,322,0,2014-07-05
959,9665,48,10,361,3,2,2,322,0,2013-04-27
960,4640,65,17,1079,2,4,4,244,loyals,2012-09-21
961,3635,69,14,578,2,3,3,233,0,2014-07-05
962,3547,12,5,64,4,1,1,411,rookies,2012-12-30
963,2456,84,7,149,1,2,2,122,0,2013-10-14
