,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,tier
2039,5628,25,20,1665,3,4,4,344,loyals
2047,10701,60,19,1211,2,4,4,244,loyals
2057,1071,10,20,1034,4,4,3,443,loyals
2058,10061,29,21,1088,3,4,4,344,loyals
2064,10897,63,21,1174,2,4,4,244,loyals
2071,2712,85,16,715,1,4,3,143,loyals
2073,10643,23,16,653,4,4,3,443,loyals
2083,5396,48,22,1366,3,4,4,344,loyals
2085,1052,24,15,1001,4,4,3,443,loyals
2094,1146,5,17,874,4,4,3,443,loyals
2101,6544,63,17,976,2,4,3,243,loyals
2107,340,1,15,497,4,4,3,443,loyals
2109,3104,89,17,2006,1,4,4,144,loyals
2110,9729,48,15,615,3,4,3,343,loyals
2111,1008,31,20,1021,3,4,3,343,loyals
2115,9907,80,16,1013,1,4,3,143,loyals
2117,8659,50,17,1038,2,4,3,243,loyals
2123,4915,86,17,732,1,4,3,143,loyals
2125,2088,98,17,1631,1,4,4,144,loyals
2126,2493,34,15,608,3,4,3,343,loyals
2144,5136,58,17,798,2,4,3,243,loyals
2158,5186,59,16,731,2,4,3,243,loyals
2163,7313,63,17,1565,2,4,4,244,loyals
2170,9362,14,16,568,4,4,3,443,loyals
2171,3968,77,23,1199,1,4,4,144,loyals
2172,4084,41,17,873,3,4,3,343,loyals
2174,2829,25,17,731,3,4,3,343,loyals
2181,8858,69,15,542,2,4,3,243,loyals
2185,9723,8,20,1016,4,4,3,443,loyals
2186,2666,21,19,907,4,4,3,443,loyals
2190,4418,36,19,1644,3,4,4,344,loyals
2193,8722,38,17,1853,3,4,4,344,loyals
2194,7118,61,15,1528,2,4,4,244,loyals
2203,2736,88,16,849,1,4,3,143,loyals
2210,607,31,15,521,3,4,3,343,loyals
2211,10469,42,15,1623,3,4,4,344,loyals
2226,4478,87,17,653,1,4,3,143,loyals
2231,9817,71,21,1049,2,4,4,244,loyals
2237,7270,91,15,1241,1,4,4,144,loyals
2238,8235,8,16,843,4,4,3,443,loyals
38,8595,99,4,67,1,1,1,111,lost
41,503,88,5,53,1,1,1,111,lost
47,7286,92,4,55,1,1,1,111,lost
65,8082,75,3,34,1,1,1,111,lost
85,5268,95,5,56,1,1,1,111,lost
105,8373,94,4,29,1,1,1,111,lost
123,7386,83,4,43,1,1,1,111,lost
171,6460,78,5,57,1,1,1,111,lost
177,10854,90,5,45,1,1,1,111,lost
178,10492,96,3,10,1,1,1,111,lost
181,3559,77,5,57,1,1,1,111,lost
184,2563,80,5,43,1,1,1,111,lost
206,5176,88,4,53,1,1,1,111,lost
208,868,99,5,65,1,1,1,111,lost
242,10735,75,4,26,1,1,1,111,lost
315,231,86,5,32,1,1,1,111,lost
321,520,81,3,30,1,1,1,111,lost
330,2861,79,3,23,1,1,1,111,lost
349,11030,90,3,16,1,1,1,111,lost
367,4432,82,5,51,1,1,1,111,lost
379,1517,92,4,51,1,1,1,111,lost
400,2488,80,5,64,1,1,1,111,lost
422,6528,75,3,10,1,1,1,111,lost
439,456,96,5,36,1,1,1,111,lost
444,2106,99,4,34,1,1,1,111,lost
473,6619,91,4,44,1,1,1,111,lost
500,9135,92,3,64,1,1,1,111,lost
517,10203,77,4,42,1,1,1,111,lost
525,2258,76,4,42,1,1,1,111,lost
550,4279,87,4,54,1,1,1,111,lost
589,4179,94,4,55,1,1,1,111,lost
596,5252,80,5,67,1,1,1,111,lost
606,7232,99,4,67,1,1,1,111,lost
616,8953,94,4,35,1,1,1,111,lost
625,3641,93,5,36,1,1,1,111,lost
655,5555,81,0,6,1,1,1,111,lost
664,8162,88,4,26,1,1,1,111,lost
665,10826,77,3,60,1,1,1,111,lost
725,7212,99,5,65,1,1,1,111,lost
742,5237,79,5,63,1,1,1,111,lost
775,6825,86,3,16,1,1,1,111,lost
778,2461,79,4,43,1,1,1,111,lost
806,7326,83,4,63,1,1,1,111,lost
816,2986,89,3,20,1,1,1,111,lost
827,6768,75,4,36,1,1,1,111,lost
834,10402,94,4,39,1,1,1,111,lost
862,9553,94,3,15,1,1,1,111,lost
867,4259,80,3,10,1,1,1,111,lost
882,8916,78,3,16,1,1,1,111,lost
883,8017,83,5,55,1,1,1,111,lost
908,6534,94,5,67,1,1,1,111,lost
933,5692,82,4,32,1,1,1,111,lost
944,8700,86,5,66,1,1,1,111,lost
948,6515,92,5,50,1,1,1,111,lost
950,7574,80,5,41,1,1,1,111,lost
954,8146,84,3,54,1,1,1,111,lost
982,6634,78,5,54,1,1,1,111,lost
1021,2445,87,5,63,1,1,1,111,lost
1024,4240,79,4,58,1,1,1,111,lost
1033,5263,99,4,55,1,1,1,111,lost
1041,6730,92,5,54,1,1,1,111,lost
1068,4817,91,3,18,1,1,1,111,lost
1073,9197,92,5,47,1,1,1,111,lost
1083,9523,95,3,15,1,1,1,111,lost
1088,5577,77,3,23,1,1,1,111,lost
1112,10022,78,3,16,1,1,1,111,lost
1131,606,87,3,15,1,1,1,111,lost
1142,4066,76,4,46,1,1,1,111,lost
1155,213,98,5,48,1,1,1,111,lost
1170,193,81,3,16,1,1,1,111,lost
1171,3363,99,4,34,1,1,1,111,lost
1185,2292,94,4,24,1,1,1,111,lost
1186,10466,86,5,60,1,1,1,111,lost
1231,7325,86,4,40,1,1,1,111,lost
1247,803,82,2,21,1,1,1,111,lost
1291,5068,75,4,26,1,1,1,111,lost
1293,7128,91,3,15,1,1,1,111,lost
1296,1663,97,4,49,1,1,1,111,lost
1302,1878,83,5,37,1,1,1,111,lost
1367,3231,97,4,30,1,1,1,111,lost
1372,10258,94,4,35,1,1,1,111,lost
1396,8663,85,3,15,1,1,1,111,lost
1412,361,84,3,20,1,1,1,111,lost
1423,5229,81,4,42,1,1,1,111,lost
1424,4086,77,3,60,1,1,1,111,lost
1433,274,75,5,34,1,1,1,111,lost
1435,922,79,3,48,1,1,1,111,lost
1453,5975,82,5,57,1,1,1,111,lost
1470,9672,82,4,65,1,1,1,111,lost
1536,451,91,3,22,1,1,1,111,lost
1543,73,81,3,18,1,1,1,111,lost
1555,7791,89,4,25,1,1,1,111,lost
1557,4037,77,3,20,1,1,1,111,lost
1571,9916,92,5,54,1,1,1,111,lost
1583,5223,80,5,66,1,1,1,111,lost
1604,11092,78,5,41,1,1,1,111,lost
1643,3829,94,4,29,1,1,1,111,lost
1650,8079,86,5,55,1,1,1,111,lost
1655,1834,77,5,67,1,1,1,111,lost
1685,7947,99,4,37,1,1,1,111,lost
1693,10398,82,3,31,1,1,1,111,lost
1696,1890,95,3,25,1,1,1,111,lost
1712,2202,98,5,69,1,1,1,111,lost
1720,6742,82,3,11,1,1,1,111,lost
1731,10304,77,3,60,1,1,1,111,lost
1732,4351,90,3,55,1,1,1,111,lost
1764,4328,81,5,55,1,1,1,111,lost
1768,8312,80,5,43,1,1,1,111,lost
1804,8397,82,3,34,1,1,1,111,lost
1815,2549,80,4,27,1,1,1,111,lost
1842,7419,90,5,35,1,1,1,111,lost
1851,11148,85,3,13,1,1,1,111,lost
1866,4227,78,5,55,1,1,1,111,lost
1872,3722,83,5,48,1,1,1,111,lost
1909,5623,95,3,51,1,1,1,111,lost
1994,4547,86,4,25,1,1,1,111,lost
2005,7181,97,5,52,1,1,1,111,lost
2017,10598,89,5,37,1,1,1,111,lost
2019,2375,75,3,22,1,1,1,111,lost
2043,5454,80,5,50,1,1,1,111,lost
2054,6382,97,4,54,1,1,1,111,lost
2063,322,93,5,41,1,1,1,111,lost
2069,1655,81,4,48,1,1,1,111,lost
2095,11031,90,4,40,1,1,1,111,lost
2121,10067,79,3,13,1,1,1,111,lost
2130,3006,83,4,43,1,1,1,111,lost
2132,11181,85,0,8,1,1,1,111,lost
2207,4333,76,5,54,1,1,1,111,lost
2215,692,88,3,16,1,1,1,111,lost
2234,8372,81,3,30,1,1,1,111,lost
0,5524,58,12,1617,2,3,4,234,big_spenders
12,2125,82,11,1102,1,3,4,134,big_spenders
21,5376,42,0,1730,3,1,4,314,big_spenders
34,8755,4,12,1196,4,3,4,434,big_spenders
40,8601,3,13,1395,4,3,4,434,big_spenders
53,2225,54,11,1617,2,3,4,234,big_spenders
60,6853,12,14,1438,4,3,4,434,big_spenders
64,4137,29,11,1076,3,3,4,334,big_spenders
69,1357,90,7,1562,1,2,4,124,big_spenders
70,1402,1,10,1253,4,2,4,424,big_spenders
76,1859,34,12,1890,3,3,4,334,big_spenders
77,7503,40,14,2209,3,3,4,334,big_spenders
88,8504,70,12,1366,2,3,4,234,big_spenders
103,9370,68,12,1120,2,3,4,234,big_spenders
104,8908,35,8,1097,3,2,4,324,big_spenders
111,7431,40,12,1820,3,3,4,334,big_spenders
116,1592,25,9,1724,3,2,4,324,big_spenders
126,11071,37,9,1923,3,2,4,324,big_spenders
141,11084,4,10,1053,4,2,4,424,big_spenders
159,2730,64,13,1231,2,3,4,234,big_spenders
164,8475,98,0,1608,1,1,4,114,big_spenders
168,6637,46,10,1117,3,2,4,324,big_spenders
176,10314,79,14,1318,1,3,4,134,big_spenders
188,6982,14,13,1581,4,3,4,434,big_spenders
197,9938,82,10,1600,1,2,4,124,big_spenders
198,6422,20,10,1270,4,2,4,424,big_spenders
201,10424,60,13,1295,2,3,4,234,big_spenders
211,6521,18,13,1101,4,3,4,434,big_spenders
214,0,66,12,1198,2,3,4,234,big_spenders
217,6274,81,14,1615,1,3,4,134,big_spenders
227,709,27,13,1103,3,3,4,334,big_spenders
228,460,72,11,1753,2,3,4,234,big_spenders
231,5341,2,10,1588,4,2,4,424,big_spenders
243,9529,8,12,1627,4,3,4,434,big_spenders
246,2176,40,11,1690,3,3,4,334,big_spenders
248,8867,90,9,2126,1,2,4,124,big_spenders
256,309,48,13,1101,3,3,4,334,big_spenders
266,1225,47,11,1495,3,3,4,334,big_spenders
270,2379,31,8,1635,3,2,4,324,big_spenders
288,10102,19,10,1478,4,2,4,424,big_spenders
292,4543,32,11,1919,3,3,4,334,big_spenders
295,2926,62,14,1374,2,3,4,234,big_spenders
307,6963,85,12,1157,1,3,4,134,big_spenders
325,7214,49,9,1283,3,2,4,324,big_spenders
332,10675,82,14,1161,1,3,4,134,big_spenders
347,1826,0,10,1190,4,2,4,424,big_spenders
353,11056,18,13,1188,4,3,4,434,big_spenders
357,6184,6,11,1670,4,3,4,434,big_spenders
360,7274,87,14,2153,1,3,4,134,big_spenders
368,5955,27,12,1932,3,3,4,334,big_spenders
378,1729,14,13,1377,4,3,4,434,big_spenders
389,9799,57,14,1173,2,3,4,234,big_spenders
390,8318,7,13,1738,4,3,4,434,big_spenders
392,2669,66,11,1127,2,3,4,234,big_spenders
395,3428,56,14,1598,2,3,4,234,big_spenders
414,3523,83,13,1073,1,3,4,134,big_spenders
415,7106,73,13,1242,2,3,4,234,big_spenders
417,5067,11,13,1378,4,3,4,434,big_spenders
423,1361,26,11,1435,3,3,4,334,big_spenders
424,6932,77,12,2119,1,3,4,134,big_spenders
427,8746,28,12,1188,3,3,4,334,big_spenders
430,3725,1,11,1688,4,3,4,434,big_spenders
447,1137,87,11,1379,1,3,4,134,big_spenders
459,10648,78,11,1289,1,3,4,134,big_spenders
463,7059,47,11,1495,3,3,4,334,big_spenders
465,2416,83,11,1288,1,3,4,134,big_spenders
466,7999,17,10,1743,4,2,4,424,big_spenders
486,5172,4,10,1053,4,2,4,424,big_spenders
490,3403,11,14,2092,4,3,4,434,big_spenders
497,11088,83,8,1816,1,2,4,124,big_spenders
507,6071,77,14,1157,1,3,4,134,big_spenders
513,6036,78,12,1924,1,3,4,134,big_spenders
515,203,47,14,2089,3,3,4,334,big_spenders
521,2532,95,8,1651,1,2,4,124,big_spenders
523,4943,73,11,1727,2,3,4,234,big_spenders
526,4322,20,14,1291,4,3,4,434,big_spenders
528,4702,20,8,1895,4,2,4,424,big_spenders
531,2004,65,9,1168,2,2,4,224,big_spenders
537,6931,19,12,1062,4,3,4,434,big_spenders
543,5547,9,13,1919,4,3,4,434,big_spenders
546,10955,68,7,1600,2,2,4,224,big_spenders
557,8314,30,12,1772,3,3,4,334,big_spenders
559,3174,61,9,1957,2,2,4,224,big_spenders
561,3179,75,13,1572,1,3,4,134,big_spenders
566,9120,80,13,1065,1,3,4,134,big_spenders
575,2574,27,14,1230,3,3,4,334,big_spenders
586,9058,65,10,1867,2,2,4,224,big_spenders
591,7627,25,10,2086,3,2,4,324,big_spenders
592,4501,94,12,1478,1,3,4,134,big_spenders
602,7972,79,12,1151,1,3,4,134,big_spenders
609,988,84,13,1193,1,3,4,134,big_spenders
634,8923,12,13,1587,4,3,4,434,big_spenders
639,701,58,14,1179,2,3,4,234,big_spenders
641,4149,57,11,1348,2,3,4,234,big_spenders
644,1173,73,10,2252,2,2,4,224,big_spenders
650,4248,23,13,2008,4,3,4,434,big_spenders
684,6327,87,8,1146,1,2,4,124,big_spenders
687,1501,21,1,1717,4,1,4,414,big_spenders
703,8029,27,10,1621,3,2,4,324,big_spenders
715,10479,64,8,1511,2,2,4,224,big_spenders
716,3619,19,13,1152,4,3,4,434,big_spenders
723,10936,79,9,1947,1,2,4,124,big_spenders
734,10430,22,8,1472,4,2,4,424,big_spenders
736,7072,69,12,1335,2,3,4,234,big_spenders
739,5564,26,13,1338,3,3,4,334,big_spenders
750,6974,89,11,1497,1,3,4,134,big_spenders
754,7723,56,14,1440,2,3,4,234,big_spenders
756,4012,55,12,1226,2,3,4,234,big_spenders
757,5909,25,11,1171,3,3,4,334,big_spenders
766,5331,8,10,1869,4,2,4,424,big_spenders
771,1915,57,14,1507,2,3,4,234,big_spenders
777,4964,90,6,1158,1,2,4,124,big_spenders
779,10736,28,11,1525,3,3,4,334,big_spenders
780,3194,86,14,1230,1,3,4,134,big_spenders
790,6543,45,7,1612,3,2,4,324,big_spenders
804,3483,76,14,1526,1,3,4,134,big_spenders
809,9145,43,11,1478,3,3,4,334,big_spenders
820,9493,15,13,1808,4,3,4,434,big_spenders
824,5536,61,9,1957,2,2,4,224,big_spenders
826,9499,97,10,1616,1,2,4,124,big_spenders
828,2150,83,12,1482,1,3,4,134,big_spenders
844,5332,2,10,1066,4,2,4,424,big_spenders
845,5848,43,12,2009,3,3,4,334,big_spenders
846,10343,27,11,1345,3,3,4,334,big_spenders
870,10140,27,9,1727,3,2,4,324,big_spenders
875,4789,95,9,1677,1,2,4,124,big_spenders
889,2930,7,12,1281,4,3,4,434,big_spenders
895,9224,81,13,1139,1,3,4,134,big_spenders
905,11074,94,13,1423,1,3,4,134,big_spenders
906,10150,10,14,1449,4,3,4,434,big_spenders
910,7053,75,11,1453,1,3,4,134,big_spenders
911,4654,40,8,1253,3,2,4,324,big_spenders
914,10619,29,14,1990,3,3,4,334,big_spenders
917,8362,9,13,1919,4,3,4,434,big_spenders
921,4483,67,8,1228,2,2,4,224,big_spenders
926,2008,93,13,1149,1,3,4,134,big_spenders
927,3139,53,14,2052,2,3,4,234,big_spenders
928,10037,66,11,1127,2,3,4,234,big_spenders
929,10673,6,11,1416,4,3,4,434,big_spenders
940,8957,51,11,1120,2,3,4,234,big_spenders
942,6810,76,9,1187,1,2,4,124,big_spenders
943,5386,62,10,2302,2,2,4,224,big_spenders
945,3202,60,14,1250,2,3,4,234,big_spenders
970,10981,27,13,1198,3,3,4,334,big_spenders
976,2611,66,14,1910,2,3,4,234,big_spenders
984,5718,17,11,1415,4,3,4,434,big_spenders
986,8164,13,12,1908,4,3,4,434,big_spenders
990,8545,6,12,1789,4,3,4,434,big_spenders
1001,7962,1,8,1901,4,2,4,424,big_spenders
1016,7010,41,13,1363,3,3,4,334,big_spenders
1030,5204,21,13,1461,4,3,4,434,big_spenders
1031,9220,58,13,1968,2,3,4,234,big_spenders
1032,9888,3,11,1091,4,3,4,434,big_spenders
1034,1020,70,12,1366,2,3,4,234,big_spenders
1050,4767,41,13,1363,3,3,4,334,big_spenders
1058,4507,87,14,1250,1,3,4,134,big_spenders
1060,4491,3,13,1178,4,3,4,434,big_spenders
1066,3005,7,12,1650,4,3,4,434,big_spenders
1071,11112,23,13,1477,4,3,4,434,big_spenders
1075,6421,32,13,2116,3,3,4,334,big_spenders
1082,8707,12,9,1401,4,2,4,424,big_spenders
1084,6072,16,11,2087,4,3,4,434,big_spenders
1089,7348,0,9,1192,4,2,4,424,big_spenders
1090,1127,62,13,1958,2,3,4,234,big_spenders
1100,5538,78,10,1862,1,2,4,124,big_spenders
1110,375,79,13,1156,1,3,4,134,big_spenders
1111,1524,1,13,1104,4,3,4,434,big_spenders
1113,7451,23,13,2008,4,3,4,434,big_spenders
1115,4356,70,8,1574,2,2,4,224,big_spenders
1126,6749,78,11,1722,1,3,4,134,big_spenders
1137,8015,88,13,1313,1,3,4,134,big_spenders
1158,7959,19,8,1370,4,2,4,424,big_spenders
1169,2410,69,11,1097,2,3,4,234,big_spenders
1172,8278,3,13,1711,4,3,4,434,big_spenders
1179,5735,29,13,2525,3,3,4,334,big_spenders
1182,1829,55,13,1232,2,3,4,234,big_spenders
1190,590,35,9,1812,3,2,4,324,big_spenders
1204,2995,64,12,1084,2,3,4,234,big_spenders
1213,697,78,11,2047,1,3,4,134,big_spenders
1218,4500,56,14,1598,2,3,4,234,big_spenders
1225,257,74,14,1215,2,3,4,234,big_spenders
1250,9606,64,10,1536,2,2,4,224,big_spenders
1261,3979,98,14,1779,1,3,4,134,big_spenders
1265,3910,78,10,1862,1,2,4,124,big_spenders
1269,9400,73,12,1383,2,3,4,234,big_spenders
1275,10319,56,14,1286,2,3,4,234,big_spenders
1280,3698,13,12,2130,4,3,4,434,big_spenders
1298,1577,14,8,1736,4,2,4,424,big_spenders
1301,6024,62,10,2302,2,2,4,224,big_spenders
1304,6055,94,13,1305,1,3,4,134,big_spenders
1329,158,3,13,1196,4,3,4,434,big_spenders
1332,1945,4,14,1400,4,3,4,434,big_spenders
1336,9495,29,8,1149,3,2,4,324,big_spenders
1342,873,3,13,1178,4,3,4,434,big_spenders
1349,1745,88,13,1313,1,3,4,134,big_spenders
1350,10590,91,14,1483,1,3,4,134,big_spenders
1351,5080,12,10,1258,4,2,4,424,big_spenders
1354,2407,10,13,1555,4,3,4,434,big_spenders
1358,1065,85,10,1918,1,2,4,124,big_spenders
1365,2674,79,12,1143,1,3,4,134,big_spenders
1385,10909,9,10,1899,4,2,4,424,big_spenders
1389,2963,56,14,1440,2,3,4,234,big_spenders
1411,9121,40,11,1690,3,3,4,334,big_spenders
1413,4310,25,10,1428,3,2,4,324,big_spenders
1443,4530,36,13,1930,3,3,4,334,big_spenders
1446,8204,93,13,1319,1,3,4,134,big_spenders
1448,1232,54,12,1244,2,3,4,234,big_spenders
1451,6652,28,12,1134,3,3,4,334,big_spenders
1452,6246,40,11,1507,3,3,4,334,big_spenders
1455,4399,3,11,1091,4,3,4,434,big_spenders
1473,4070,99,12,1078,1,3,4,134,big_spenders
1474,25,9,13,1115,4,3,4,434,big_spenders
1484,8370,50,13,1159,2,3,4,234,big_spenders
1486,2939,96,8,1631,1,2,4,124,big_spenders
1497,2072,34,13,1064,3,3,4,334,big_spenders
1504,3584,35,10,1396,3,2,4,324,big_spenders
1510,486,27,13,1198,3,3,4,334,big_spenders
1513,9264,1,13,1638,4,3,4,434,big_spenders
1526,202,54,11,1234,2,3,4,234,big_spenders
1528,830,5,8,1658,4,2,4,424,big_spenders
1537,10530,0,9,1156,4,2,4,424,big_spenders
1538,1079,59,12,1086,2,3,4,234,big_spenders
1552,8091,50,12,1106,2,3,4,234,big_spenders
1572,5350,29,13,2525,3,3,4,334,big_spenders
1577,9298,89,12,1798,1,3,4,134,big_spenders
1581,9952,53,9,1105,2,2,4,224,big_spenders
1602,2565,69,14,1334,2,3,4,234,big_spenders
1622,5120,78,11,1289,1,3,4,134,big_spenders
1626,8041,35,13,1092,3,3,4,334,big_spenders
1641,1665,71,8,1750,2,2,4,224,big_spenders
1648,6409,18,14,1179,4,3,4,434,big_spenders
1653,4931,13,0,1730,4,1,4,414,big_spenders
1659,2781,55,10,1792,2,2,4,224,big_spenders
1671,1964,66,11,1603,2,3,4,234,big_spenders
1680,1215,49,12,1572,3,3,4,334,big_spenders
1686,1891,12,9,1754,4,2,4,424,big_spenders
1689,295,77,14,1157,1,3,4,134,big_spenders
1691,6349,71,14,1319,2,3,4,234,big_spenders
1710,477,31,14,2157,3,3,4,334,big_spenders
1716,10091,78,12,1067,1,3,4,134,big_spenders
1722,569,32,12,1991,3,3,4,334,big_spenders
1735,10092,46,12,1504,3,3,4,334,big_spenders
1745,9292,74,11,1382,2,3,4,234,big_spenders
1749,737,56,9,2231,2,2,4,224,big_spenders
1750,3571,48,13,1101,3,3,4,334,big_spenders
1767,2631,29,8,1149,3,2,4,324,big_spenders
1773,8584,54,9,1165,2,2,4,224,big_spenders
1788,1513,72,14,1250,2,3,4,234,big_spenders
1808,1619,2,10,1588,4,2,4,424,big_spenders
1809,1990,74,11,1797,2,3,4,234,big_spenders
1811,269,71,11,1143,2,3,4,234,big_spenders
1813,10513,68,8,1502,2,2,4,224,big_spenders
1814,10177,4,13,1338,4,3,4,434,big_spenders
1817,10057,70,14,1331,2,3,4,234,big_spenders
1827,5302,13,9,1428,4,2,4,424,big_spenders
1828,4687,92,12,1633,1,3,4,134,big_spenders
1852,1168,62,14,1401,2,3,4,234,big_spenders
1853,9595,1,8,1574,4,2,4,424,big_spenders
1858,9029,73,14,1536,2,3,4,234,big_spenders
1864,9064,10,13,1555,4,3,4,434,big_spenders
1869,2186,30,11,2257,3,3,4,334,big_spenders
1877,1399,52,12,1515,2,3,4,234,big_spenders
1880,3074,66,9,1828,2,2,4,224,big_spenders
1887,5113,67,10,1702,2,2,4,224,big_spenders
1890,2747,90,9,2126,1,2,4,124,big_spenders
1891,3010,87,12,2069,1,3,4,134,big_spenders
1897,5558,90,8,1685,1,2,4,124,big_spenders
1911,5544,32,12,1490,3,3,4,334,big_spenders
1913,5831,93,10,1815,1,2,4,124,big_spenders
1922,3138,84,13,1676,1,3,4,134,big_spenders
1927,2181,45,10,1280,3,2,4,324,big_spenders
1940,1139,56,10,1512,2,2,4,224,big_spenders
1945,10868,82,13,1272,1,3,4,134,big_spenders
1946,10676,3,10,1173,4,2,4,424,big_spenders
1952,3434,60,14,1336,2,3,4,234,big_spenders
1955,6428,37,8,1130,3,2,4,324,big_spenders
1961,3009,8,11,1766,4,3,4,434,big_spenders
1968,8537,60,10,1429,2,2,4,224,big_spenders
1969,4331,41,14,1371,3,3,4,334,big_spenders
1982,3334,35,14,2211,3,3,4,334,big_spenders
1990,10949,8,13,1958,4,3,4,434,big_spenders
1993,10164,75,10,1691,1,2,4,124,big_spenders
2010,2002,81,10,1870,1,2,4,124,big_spenders
2023,7861,23,14,1175,4,3,4,434,big_spenders
2041,4974,98,13,1392,1,3,4,134,big_spenders
2048,3507,44,7,1575,3,2,4,324,big_spenders
2056,7441,80,14,1615,1,3,4,134,big_spenders
2062,2345,54,12,1244,2,3,4,234,big_spenders
2067,7899,70,8,1680,2,2,4,224,big_spenders
2074,2254,95,14,1455,1,3,4,134,big_spenders
2087,6343,6,13,1518,4,3,4,434,big_spenders
2093,7734,58,11,1216,2,3,4,234,big_spenders
2096,7428,47,11,1367,3,3,4,334,big_spenders
2098,1103,60,14,2053,2,3,4,234,big_spenders
2099,3422,67,6,1376,2,2,4,224,big_spenders
2103,2909,89,14,1264,1,3,4,134,big_spenders
2118,6262,93,11,1573,1,3,4,134,big_spenders
2127,6292,60,14,1822,2,3,4,234,big_spenders
2131,3919,64,13,1931,2,3,4,234,big_spenders
2134,4369,48,9,1169,3,2,4,324,big_spenders
2151,7233,4,11,1782,4,3,4,434,big_spenders
2160,5667,90,13,1701,1,3,4,134,big_spenders
2166,2429,4,13,1338,4,3,4,434,big_spenders
2167,3520,94,11,1092,1,3,4,134,big_spenders
2168,10394,91,9,1479,1,2,4,124,big_spenders
2173,6721,21,11,1213,4,3,4,434,big_spenders
2175,1772,2,12,2043,4,3,4,434,big_spenders
2176,1544,51,14,1893,2,3,4,234,big_spenders
2187,5721,60,13,1566,2,3,4,234,big_spenders
2188,10652,48,9,1169,3,2,4,324,big_spenders
2206,1092,17,13,1147,4,3,4,434,big_spenders
2213,3661,42,12,1435,3,3,4,334,big_spenders
2217,9589,54,11,1234,2,3,4,234,big_spenders
2221,7366,12,14,1438,4,3,4,434,big_spenders
2235,10870,46,13,1341,3,3,4,334,big_spenders
1,2174,38,3,27,3,1,1,311,0
3,6182,26,6,53,3,2,1,321,0
4,5324,94,11,422,1,3,3,133,0
6,965,34,14,590,3,3,3,333,0
7,6177,32,8,169,3,2,2,322,0
9,5899,68,1,49,2,1,1,211,0
11,387,59,5,61,2,1,1,211,0
13,8180,53,11,310,2,3,2,232,0
14,2569,38,4,46,3,1,1,311,0
16,9736,51,6,96,2,2,2,222,0
17,4939,20,10,317,4,2,2,422,0
19,2278,86,5,133,1,1,2,112,0
20,9360,41,9,316,3,2,2,322,0
22,1993,63,11,972,2,3,3,233,0
24,1409,69,12,444,2,3,3,233,0
25,7892,89,5,75,1,1,2,112,0
26,2404,4,9,257,4,2,2,422,0
28,9422,26,6,131,3,2,2,322,0
30,6864,34,6,30,3,2,1,321,0
31,3033,56,5,318,2,1,2,212,0
32,5710,31,6,120,3,2,2,322,0
33,7373,8,10,302,4,2,2,422,0
35,10738,55,5,65,2,1,1,211,0
37,10755,76,5,81,1,1,2,112,0
39,2968,53,12,902,2,3,3,233,0
45,1371,72,11,984,2,3,3,233,0
46,9909,24,6,122,4,2,2,422,0
50,8614,29,14,507,3,3,3,333,0
52,1331,54,5,72,2,1,2,212,0
54,9381,57,14,606,2,3,3,233,0
57,7437,31,5,29,3,1,1,311,0
59,8375,63,14,518,2,3,3,233,0
74,1050,58,6,65,2,2,1,221,0
75,5846,68,3,13,2,1,1,211,0
80,3332,87,7,165,1,2,2,122,0
82,5346,87,6,79,1,2,2,122,0
83,4119,56,5,318,2,1,2,212,0
86,273,48,7,151,3,2,2,322,0
87,4452,3,12,372,4,3,2,432,0
89,771,79,7,194,1,2,2,122,0
93,11178,69,4,32,2,1,1,211,0
94,2230,84,6,43,1,2,1,121,0
95,7516,30,5,45,3,1,1,311,0
96,7247,72,13,606,2,3,3,233,0
97,11100,37,5,63,3,1,1,311,0
99,3037,32,12,410,3,3,3,333,0
100,1473,0,5,72,4,1,2,412,0
101,1016,43,5,55,3,1,1,311,0
106,7533,15,8,187,4,2,2,422,0
108,3629,17,6,145,4,2,2,422,0
109,10991,18,9,850,4,2,3,423,0
114,9215,19,12,551,4,3,3,433,0
115,2286,27,5,114,3,1,2,312,0
117,367,74,14,577,2,3,3,233,0
118,5234,85,4,81,1,1,2,112,0
119,9862,37,5,33,3,1,1,311,0
121,6205,13,5,80,4,1,2,412,0
122,8442,63,4,30,2,1,1,211,0
125,1491,87,10,559,1,2,3,123,0
127,3381,51,6,90,2,2,2,222,0
130,8026,10,10,463,4,2,3,423,0
134,5290,51,10,279,2,2,2,222,0
136,5342,31,4,29,3,1,1,311,0
137,9579,61,4,106,2,1,2,212,0
138,7660,37,3,49,3,1,1,311,0
139,1461,74,5,38,2,1,1,211,0
144,9701,13,7,312,4,2,2,422,0
145,9949,36,9,877,3,2,3,323,0
146,10837,47,5,68,3,1,1,311,0
147,3120,49,3,22,3,1,1,311,0
148,5885,94,8,211,1,2,2,122,0
149,4050,65,6,127,2,2,2,222,0
150,3830,59,11,459,2,3,3,233,0
151,7987,96,14,460,1,3,3,133,0
152,7798,28,12,429,3,3,3,333,0
153,92,12,7,89,4,2,2,422,0
156,3025,4,11,306,4,3,2,432,0
157,9283,49,3,18,3,1,1,311,0
158,9970,3,7,162,4,2,2,422,0
162,8182,91,7,121,1,2,2,122,0
165,4370,83,6,88,1,2,2,122,0
166,10573,27,10,421,3,2,3,323,0
